都道府県コード,都道府県名,年齢5歳階級,元号,和暦（年）,西暦（年）,人口（総数）,人口（男）,人口（女）
23,愛知県,総数,大正,9,1920,2089762,1033860,1055902
23,愛知県,0～4歳,大正,9,1920,273349,137826,135523
23,愛知県,5～9歳,大正,9,1920,259779,131454,128325
23,愛知県,10～14歳,大正,9,1920,232542,114753,117789
23,愛知県,15～19歳,大正,9,1920,207255,99322,107933
23,愛知県,20～24歳,大正,9,1920,170084,84687,85397
23,愛知県,25～29歳,大正,9,1920,144332,72496,71836
23,愛知県,30～34歳,大正,9,1920,134806,67948,66858
23,愛知県,35～39歳,大正,9,1920,133995,66666,67329
23,愛知県,40～44歳,大正,9,1920,120464,60605,59859
23,愛知県,45～49歳,大正,9,1920,92061,46311,45750
23,愛知県,50～54歳,大正,9,1920,77740,39003,38737
23,愛知県,55～59歳,大正,9,1920,66790,33176,33614
23,愛知県,60～64歳,大正,9,1920,63829,30803,33026
23,愛知県,65～69歳,大正,9,1920,50693,23531,27162
23,愛知県,70～74歳,大正,9,1920,33483,14744,18739
23,愛知県,75～79歳,大正,9,1920,18662,7280,11382
23,愛知県,80歳以上,大正,9,1920,9898,3255,6643
23,愛知県,総数,大正,14,1925,2319494,1150325,1169169
23,愛知県,0～4歳,大正,14,1925,308972,155324,153648
23,愛知県,5～9歳,大正,14,1925,255675,129495,126180
23,愛知県,10～14歳,大正,14,1925,275033,132956,142077
23,愛知県,15～19歳,大正,14,1925,248793,118470,130323
23,愛知県,20～24歳,大正,14,1925,201230,100400,100830
23,愛知県,25～29歳,大正,14,1925,168515,86806,81709
23,愛知県,30～34歳,大正,14,1925,144476,74809,69667
23,愛知県,35～39歳,大正,14,1925,133865,68760,65105
23,愛知県,40～44歳,大正,14,1925,130905,66093,64812
23,愛知県,45～49歳,大正,14,1925,116794,58824,57970
23,愛知県,50～54歳,大正,14,1925,87382,43703,43679
23,愛知県,55～59歳,大正,14,1925,70776,34986,35790
23,愛知県,60～64歳,大正,14,1925,58105,28212,29893
23,愛知県,65～69歳,大正,14,1925,51569,23936,27633
23,愛知県,70～74歳,大正,14,1925,36549,16013,20536
23,愛知県,75～79歳,大正,14,1925,20091,8006,12085
23,愛知県,80～84歳,大正,14,1925,8224,2816,5408
23,愛知県,85歳以上,大正,14,1925,2540,716,1824
23,愛知県,総数,昭和,5,1930,2567413,1277720,1289693
23,愛知県,0～4歳,昭和,5,1930,349588,176837,172751
23,愛知県,5～9歳,昭和,5,1930,290360,146362,143998
23,愛知県,10～14歳,昭和,5,1930,269580,131663,137917
23,愛知県,15～19歳,昭和,5,1930,292180,139035,153145
23,愛知県,20～24歳,昭和,5,1930,229774,114219,115555
23,愛知県,25～29歳,昭和,5,1930,197221,101540,95681
23,愛知県,30～34歳,昭和,5,1930,166875,87275,79600
23,愛知県,35～39歳,昭和,5,1930,142376,74137,68239
23,愛知県,40～44歳,昭和,5,1930,130025,67229,62796
23,愛知県,45～49歳,昭和,5,1930,125505,63120,62385
23,愛知県,50～54歳,昭和,5,1930,109817,54903,54914
23,愛知県,55～59歳,昭和,5,1930,80151,39437,40714
23,愛知県,60～64歳,昭和,5,1930,62372,29777,32595
23,愛知県,65～69歳,昭和,5,1930,47664,22156,25508
23,愛知県,70～74歳,昭和,5,1930,38178,16618,21560
23,愛知県,75～79歳,昭和,5,1930,22808,9107,13701
23,愛知県,80歳以上,昭和,5,1930,12939,4305,8634
23,愛知県,総数,昭和,10,1935,2862701,1418218,1444483
23,愛知県,0～4歳,昭和,10,1935,381229,192508,188721
23,愛知県,5～9歳,昭和,10,1935,334120,169378,164742
23,愛知県,10～14歳,昭和,10,1935,313238,151555,161683
23,愛知県,15～19歳,昭和,10,1935,305128,143526,161602
23,愛知県,20～24歳,昭和,10,1935,268649,128361,140288
23,愛知県,25～29歳,昭和,10,1935,224401,114767,109634
23,愛知県,30～34歳,昭和,10,1935,193199,100016,93183
23,愛知県,35～39歳,昭和,10,1935,162909,85374,77535
23,愛知県,40～44歳,昭和,10,1935,137368,71654,65714
23,愛知県,45～49歳,昭和,10,1935,124996,64382,60614
23,愛知県,50～54歳,昭和,10,1935,118285,59000,59285
23,愛知県,55～59歳,昭和,10,1935,101302,49721,51581
23,愛知県,60～64歳,昭和,10,1935,71327,33976,37351
23,愛知県,65～69歳,昭和,10,1935,51348,23543,27805
23,愛知県,70～74歳,昭和,10,1935,35782,15597,20185
23,愛知県,75～79歳,昭和,10,1935,24047,9649,14398
23,愛知県,80歳以上,昭和,10,1935,15373,5211,10162
23,愛知県,総数,昭和,15,1940,3165891,1582086,1583805
23,愛知県,0～4歳,昭和,15,1940,400589,203003,197586
23,愛知県,5～9歳,昭和,15,1940,364747,184462,180285
23,愛知県,10～14歳,昭和,15,1940,350078,174254,175824
23,愛知県,15～19歳,昭和,15,1940,352270,172426,179844
23,愛知県,20～24歳,昭和,15,1940,280423,135580,144843
23,愛知県,25～29歳,昭和,15,1940,268755,136705,132050
23,愛知県,30～34歳,昭和,15,1940,220998,114400,106598
23,愛知県,35～39歳,昭和,15,1940,188609,97974,90635
23,愛知県,40～44歳,昭和,15,1940,157064,82303,74761
23,愛知県,45～49歳,昭和,15,1940,130938,67735,63203
23,愛知県,50～54歳,昭和,15,1940,117706,60007,57699
23,愛知県,55～59歳,昭和,15,1940,108716,53183,55533
23,愛知県,60～64歳,昭和,15,1940,89842,42597,47245
23,愛知県,65～69歳,昭和,15,1940,59183,26969,32214
23,愛知県,70～74歳,昭和,15,1940,37964,16291,21673
23,愛知県,75～79歳,昭和,15,1940,22167,8850,13317
23,愛知県,80～84歳,昭和,15,1940,11207,3976,7231
23,愛知県,85歳以上,昭和,15,1940,4557,1336,3221
23,愛知県,総数,昭和,20,1945,2857851,1357054,1500797
23,愛知県,1～5歳,昭和,20,1945,374378,189722,184656
23,愛知県,6～10歳,昭和,20,1945,334870,169666,165204
23,愛知県,11～15歳,昭和,20,1945,328561,166147,162414
23,愛知県,16～20歳,昭和,20,1945,305747,151901,153846
23,愛知県,21～25歳,昭和,20,1945,209392,75592,133800
23,愛知県,26～30歳,昭和,20,1945,177707,64702,113005
23,愛知県,31～35歳,昭和,20,1945,188273,78087,110186
23,愛知県,36～40歳,昭和,20,1945,179900,86749,93151
23,愛知県,41～45歳,昭和,20,1945,165666,84406,81260
23,愛知県,46～50歳,昭和,20,1945,141089,73397,67692
23,愛知県,51～55歳,昭和,20,1945,117080,60503,56577
23,愛知県,56～60歳,昭和,20,1945,102885,51840,51045
23,愛知県,61～65歳,昭和,20,1945,88456,42423,46033
23,愛知県,66～70歳,昭和,20,1945,68241,30995,37246
23,愛知県,71～75歳,昭和,20,1945,41559,18012,23547
23,愛知県,76～80歳,昭和,20,1945,20680,8253,12427
23,愛知県,81～85歳,昭和,20,1945,9748,3561,6187
23,愛知県,86歳以上,昭和,20,1945,3619,1098,2521
23,愛知県,総数,昭和,25,1950,3390585,1649189,1741396
23,愛知県,0～4歳,昭和,25,1950,452118,231061,221057
23,愛知県,5～9歳,昭和,25,1950,393124,199426,193698
23,愛知県,10～14歳,昭和,25,1950,347500,176151,171349
23,愛知県,15～19歳,昭和,25,1950,362500,174251,188249
23,愛知県,20～24歳,昭和,25,1950,315087,152043,163044
23,愛知県,25～29歳,昭和,25,1950,246973,109593,137380
23,愛知県,30～34歳,昭和,25,1950,212442,94488,117954
23,愛知県,35～39歳,昭和,25,1950,212979,99500,113479
23,愛知県,40～44歳,昭和,25,1950,183957,91068,92889
23,愛知県,45～49歳,昭和,25,1950,161264,81726,79538
23,愛知県,50～54歳,昭和,25,1950,132631,67879,64752
23,愛知県,55～59歳,昭和,25,1950,109652,55117,54535
23,愛知県,60～64歳,昭和,25,1950,92241,44871,47370
23,愛知県,65～69歳,昭和,25,1950,75383,34472,40911
23,愛知県,70～74歳,昭和,25,1950,51680,22044,29636
23,愛知県,75～79歳,昭和,25,1950,26542,10655,15887
23,愛知県,80歳以上,昭和,25,1950,14451,4824,9627
23,愛知県,総数,昭和,30,1955,3769209,1829729,1939480
23,愛知県,0～4歳,昭和,30,1955,347501,177201,170300
23,愛知県,5～9歳,昭和,30,1955,451785,230912,220873
23,愛知県,10～14歳,昭和,30,1955,397848,201730,196118
23,愛知県,15～19歳,昭和,30,1955,423978,196836,227142
23,愛知県,20～24歳,昭和,30,1955,384080,184928,199152
23,愛知県,25～29歳,昭和,30,1955,324493,161161,163332
23,愛知県,30～34歳,昭和,30,1955,251812,113165,138647
23,愛知県,35～39歳,昭和,30,1955,213677,95692,117985
23,愛知県,40～44歳,昭和,30,1955,212188,99362,112826
23,愛知県,45～49歳,昭和,30,1955,182226,90266,91960
23,愛知県,50～54歳,昭和,30,1955,157330,79525,77805
23,愛知県,55～59歳,昭和,30,1955,126869,64478,62391
23,愛知県,60～64歳,昭和,30,1955,100435,49742,50693
23,愛知県,65～69歳,昭和,30,1955,79820,37851,41969
23,愛知県,70～74歳,昭和,30,1955,59656,25915,33741
23,愛知県,75～79歳,昭和,30,1955,35637,14046,21591
23,愛知県,80～84歳,昭和,30,1955,14695,5356,9339
23,愛知県,85歳以上,昭和,30,1955,5163,1555,3608
23,愛知県,総数,昭和,35,1960,4206313,2064726,2141587
23,愛知県,0～4歳,昭和,35,1960,334541,171069,163472
23,愛知県,5～9歳,昭和,35,1960,353738,180501,173237
23,愛知県,10～14歳,昭和,35,1960,458285,234301,223984
23,愛知県,15～19歳,昭和,35,1960,535604,254209,281395
23,愛知県,20～24歳,昭和,35,1960,445284,219379,225905
23,愛知県,25～29歳,昭和,35,1960,393221,200395,192826
23,愛知県,30～34歳,昭和,35,1960,334218,169853,164365
23,愛知県,35～39歳,昭和,35,1960,257024,117331,139693
23,愛知県,40～44歳,昭和,35,1960,215613,97507,118106
23,愛知県,45～49歳,昭和,35,1960,211883,100151,111732
23,愛知県,50～54歳,昭和,35,1960,178906,88693,90213
23,愛知県,55～59歳,昭和,35,1960,151274,76088,75186
23,愛知県,60～64歳,昭和,35,1960,117650,58661,58989
23,愛知県,65～69歳,昭和,35,1960,87872,42366,45506
23,愛知県,70～74歳,昭和,35,1960,63821,28846,34975
23,愛知県,75～79歳,昭和,35,1960,41164,16431,24733
23,愛知県,80～84歳,昭和,35,1960,19269,6808,12461
23,愛知県,85歳以上,昭和,35,1960,6946,2137,4809
23,愛知県,総数,昭和,40,1965,4798653,2382085,2416568
23,愛知県,0～4歳,昭和,40,1965,429058,218423,210635
23,愛知県,5～9歳,昭和,40,1965,351436,178796,172640
23,愛知県,10～14歳,昭和,40,1965,369480,187760,181720
23,愛知県,15～19歳,昭和,40,1965,618939,300705,318234
23,愛知県,20～24歳,昭和,40,1965,541842,276706,265136
23,愛知県,25～29歳,昭和,40,1965,465895,241049,224846
23,愛知県,30～34歳,昭和,40,1965,414914,213703,201211
23,愛知県,35～39歳,昭和,40,1965,347976,177563,170413
23,愛知県,40～44歳,昭和,40,1965,263159,120846,142313
23,愛知県,45～49歳,昭和,40,1965,217916,98871,119045
23,愛知県,50～54歳,昭和,40,1965,209533,98617,110916
23,愛知県,55～59歳,昭和,40,1965,173509,85614,87895
23,愛知県,60～64歳,昭和,40,1965,141250,69788,71462
23,愛知県,65～69歳,昭和,40,1965,104274,50576,53698
23,愛知県,70～74歳,昭和,40,1965,71967,33165,38802
23,愛知県,75～79歳,昭和,40,1965,45204,18887,26317
23,愛知県,80～84歳,昭和,40,1965,22723,8174,14549
23,愛知県,85歳以上,昭和,40,1965,9578,2842,6736
23,愛知県,総数,昭和,45,1970,5386163,2694991,2691172
23,愛知県,0～4歳,昭和,45,1970,511666,262523,249143
23,愛知県,5～9歳,昭和,45,1970,437017,223386,213631
23,愛知県,10～14歳,昭和,45,1970,360959,184161,176798
23,愛知県,15～19歳,昭和,45,1970,485898,237593,248305
23,愛知県,20～24歳,昭和,45,1970,632986,325326,307660
23,愛知県,25～29歳,昭和,45,1970,549801,283402,266399
23,愛知県,30～34歳,昭和,45,1970,475438,246421,229017
23,愛知県,35～39歳,昭和,45,1970,422841,218535,204306
23,愛知県,40～44歳,昭和,45,1970,351404,180477,170927
23,愛知県,45～49歳,昭和,45,1970,265595,122640,142955
23,愛知県,50～54歳,昭和,45,1970,217236,98210,119026
23,愛知県,55～59歳,昭和,45,1970,203399,94874,108525
23,愛知県,60～64歳,昭和,45,1970,164281,79300,84981
23,愛知県,65～69歳,昭和,45,1970,127560,61002,66558
23,愛知県,70～74歳,昭和,45,1970,87812,40499,47313
23,愛知県,75～79歳,昭和,45,1970,52941,22766,30175
23,愛知県,80～84歳,昭和,45,1970,26901,10095,16806
23,愛知県,85歳以上,昭和,45,1970,12428,3781,8647
23,愛知県,総数,昭和,50,1975,5923569,2966388,2957181
23,愛知県,0～4歳,昭和,50,1975,593693,304612,289081
23,愛知県,5～9歳,昭和,50,1975,506359,259908,246451
23,愛知県,10～14歳,昭和,50,1975,436904,223368,213536
23,愛知県,15～19歳,昭和,50,1975,431098,215895,215203
23,愛知県,20～24歳,昭和,50,1975,504180,257498,246682
23,愛知県,25～29歳,昭和,50,1975,624815,318048,306767
23,愛知県,30～34歳,昭和,50,1975,547009,280752,266257
23,愛知県,35～39歳,昭和,50,1975,469970,243069,226901
23,愛知県,40～44歳,昭和,50,1975,419326,216162,203164
23,愛知県,45～49歳,昭和,50,1975,348889,178323,170566
23,愛知県,50～54歳,昭和,50,1975,260242,118841,141401
23,愛知県,55～59歳,昭和,50,1975,209702,93279,116423
23,愛知県,60～64歳,昭和,50,1975,195026,88897,106129
23,愛知県,65～69歳,昭和,50,1975,150833,70404,80429
23,愛知県,70～74歳,昭和,50,1975,109503,49997,59506
23,愛知県,75～79歳,昭和,50,1975,66967,28989,37978
23,愛知県,80～84歳,昭和,50,1975,32864,12949,19915
23,愛知県,85歳以上,昭和,50,1975,15472,4896,10576
23,愛知県,総数,昭和,55,1980,6221638,3112306,3109332
23,愛知県,0～4歳,昭和,55,1980,476917,244535,232382
23,愛知県,5～9歳,昭和,55,1980,579665,297397,282268
23,愛知県,10～14歳,昭和,55,1980,498777,256183,242594
23,愛知県,15～19歳,昭和,55,1980,470750,238410,232340
23,愛知県,20～24歳,昭和,55,1980,442129,226100,216029
23,愛知県,25～29歳,昭和,55,1980,483281,245128,238153
23,愛知県,30～34歳,昭和,55,1980,609904,308494,301410
23,愛知県,35～39歳,昭和,55,1980,535224,273938,261286
23,愛知県,40～44歳,昭和,55,1980,460016,237312,222704
23,愛知県,45～49歳,昭和,55,1980,410770,210753,200017
23,愛知県,50～54歳,昭和,55,1980,339571,172426,167145
23,愛知県,55～59歳,昭和,55,1980,251150,113497,137653
23,愛知県,60～64歳,昭和,55,1980,199510,87032,112478
23,愛知県,65～69歳,昭和,55,1980,180102,80043,100059
23,愛知県,70～74歳,昭和,55,1980,132030,58935,73095
23,愛知県,75～79歳,昭和,55,1980,85623,36730,48893
23,愛知県,80～84歳,昭和,55,1980,43751,17282,26469
23,愛知県,85歳以上,昭和,55,1980,20707,6872,13835
23,愛知県,総数,昭和,60,1985,6455172,3228724,3226448
23,愛知県,0～4歳,昭和,60,1985,409877,210054,199823
23,愛知県,5～9歳,昭和,60,1985,465891,238798,227093
23,愛知県,10～14歳,昭和,60,1985,570961,292832,278129
23,愛知県,15～19歳,昭和,60,1985,524878,269930,254948
23,愛知県,20～24歳,昭和,60,1985,485335,249186,236149
23,愛知県,25～29歳,昭和,60,1985,426396,219022,207374
23,愛知県,30～34歳,昭和,60,1985,474489,239504,234985
23,愛知県,35～39歳,昭和,60,1985,598124,301641,296483
23,愛知県,40～44歳,昭和,60,1985,526331,268592,257739
23,愛知県,45～49歳,昭和,60,1985,452395,232886,219509
23,愛知県,50～54歳,昭和,60,1985,401274,204901,196373
23,愛知県,55～59歳,昭和,60,1985,328498,165088,163410
23,愛知県,60～64歳,昭和,60,1985,240447,106631,133816
23,愛知県,65～69歳,昭和,60,1985,186910,79443,107467
23,愛知県,70～74歳,昭和,60,1985,161603,68956,92647
23,愛知県,75～79歳,昭和,60,1985,108433,45554,62879
23,愛知県,80～84歳,昭和,60,1985,59503,23244,36259
23,愛知県,85歳以上,昭和,60,1985,30774,10388,20386
23,愛知県,総数,平成,2,1990,6690603,3354827,3335776
23,愛知県,0～4歳,平成,2,1990,369451,188992,180459
23,愛知県,5～9歳,平成,2,1990,404924,207438,197486
23,愛知県,10～14歳,平成,2,1990,462408,236865,225543
23,愛知県,15～19歳,平成,2,1990,595693,306426,289267
23,愛知県,20～24歳,平成,2,1990,542860,281201,261659
23,愛知県,25～29歳,平成,2,1990,480905,249779,231126
23,愛知県,30～34歳,平成,2,1990,425221,218489,206732
23,愛知県,35～39歳,平成,2,1990,471205,238198,233007
23,愛知県,40～44歳,平成,2,1990,595095,300715,294380
23,愛知県,45～49歳,平成,2,1990,521867,267111,254756
23,愛知県,50～54歳,平成,2,1990,445977,229365,216612
23,愛知県,55～59歳,平成,2,1990,390637,197936,192701
23,愛知県,60～64歳,平成,2,1990,315361,156008,159353
23,愛知県,65～69歳,平成,2,1990,226592,98139,128453
23,愛知県,70～74歳,平成,2,1990,170319,69588,100731
23,愛知県,75～79歳,平成,2,1990,136156,54636,81520
23,愛知県,80～84歳,平成,2,1990,78853,30133,48720
23,愛知県,85歳以上,平成,2,1990,44363,14580,29783
23,愛知県,総数,平成,7,1995,6868336,3439180,3429156
23,愛知県,0～4歳,平成,7,1995,354155,181283,172872
23,愛知県,5～9歳,平成,7,1995,365582,187162,178420
23,愛知県,10～14歳,平成,7,1995,401255,205466,195789
23,愛知県,15～19歳,平成,7,1995,479885,246212,233673
23,愛知県,20～24歳,平成,7,1995,612559,314824,297735
23,愛知県,25～29歳,平成,7,1995,542034,282388,259646
23,愛知県,30～34歳,平成,7,1995,479631,248525,231106
23,愛知県,35～39歳,平成,7,1995,422160,216522,205638
23,愛知県,40～44歳,平成,7,1995,468398,236560,231838
23,愛知県,45～49歳,平成,7,1995,590335,298496,291839
23,愛知県,50～54歳,平成,7,1995,514148,262050,252098
23,愛知県,55～59歳,平成,7,1995,435570,222324,213246
23,愛知県,60～64歳,平成,7,1995,374375,186490,187885
23,愛知県,65～69歳,平成,7,1995,297406,143848,153558
23,愛知県,70～74歳,平成,7,1995,207971,86746,121225
23,愛知県,75～79歳,平成,7,1995,146105,55884,90221
23,愛知県,80～84歳,平成,7,1995,102926,37588,65338
23,愛知県,85歳以上,平成,7,1995,64618,20290,44328
23,愛知県,総数,平成,12,2000,7043300,3525698,3517602
23,愛知県,0～4歳,平成,12,2000,367153,187957,179196
23,愛知県,5～9歳,平成,12,2000,350785,179607,171178
23,愛知県,10～14歳,平成,12,2000,363342,185955,177387
23,愛知県,15～19歳,平成,12,2000,416223,214596,201627
23,愛知県,20～24歳,平成,12,2000,493538,254353,239185
23,愛知県,25～29歳,平成,12,2000,609071,314594,294477
23,愛知県,30～34歳,平成,12,2000,537981,279168,258813
23,愛知県,35～39歳,平成,12,2000,475855,245687,230168
23,愛知県,40～44歳,平成,12,2000,419261,214649,204612
23,愛知県,45～49歳,平成,12,2000,462881,233245,229636
23,愛知県,50～54歳,平成,12,2000,579282,291592,287690
23,愛知県,55～59歳,平成,12,2000,500762,253252,247510
23,愛知県,60～64歳,平成,12,2000,420003,211303,208700
23,愛知県,65～69歳,平成,12,2000,353491,172125,181366
23,愛知県,70～74歳,平成,12,2000,272967,127381,145586
23,愛知県,75～79歳,平成,12,2000,182589,72220,110369
23,愛知県,80～84歳,平成,12,2000,115176,40393,74783
23,愛知県,85歳以上,平成,12,2000,95776,28517,67259
23,愛知県,総数,平成,17,2005,7254704,3638994,3615710
23,愛知県,0～4歳,平成,17,2005,354230,181973,172257
23,愛知県,5～9歳,平成,17,2005,366192,187492,178700
23,愛知県,10～14歳,平成,17,2005,349076,178565,170511
23,愛知県,15～19歳,平成,17,2005,378383,195973,182410
23,愛知県,20～24歳,平成,17,2005,443293,232108,211185
23,愛知県,25～29歳,平成,17,2005,511016,266940,244076
23,愛知県,30～34歳,平成,17,2005,618067,320321,297746
23,愛知県,35～39歳,平成,17,2005,540752,281462,259290
23,愛知県,40～44歳,平成,17,2005,477796,247399,230397
23,愛知県,45～49歳,平成,17,2005,418325,214334,203991
23,愛知県,50～54歳,平成,17,2005,458803,230547,228256
23,愛知県,55～59歳,平成,17,2005,568332,284526,283806
23,愛知県,60～64歳,平成,17,2005,486305,242955,243350
23,愛知県,65～69歳,平成,17,2005,401613,198950,202663
23,愛知県,70～74歳,平成,17,2005,328949,155461,173488
23,愛知県,75～79歳,平成,17,2005,242178,107539,134639
23,愛知県,80～84歳,平成,17,2005,149470,54231,95239
23,愛知県,85歳以上,平成,17,2005,126352,35241,91111
23,愛知県,総数,平成,22,2010,7410719,3704220,3706499
23,愛知県,0～4歳,平成,22,2010,346338,177425,168913
23,愛知県,5～9歳,平成,22,2010,353251,181173,172078
23,愛知県,10～14歳,平成,22,2010,365665,187169,178496
23,愛知県,15～19歳,平成,22,2010,361670,185766,175904
23,愛知県,20～24歳,平成,22,2010,403988,209871,194117
23,愛知県,25～29歳,平成,22,2010,462251,243198,219053
23,愛知県,30～34歳,平成,22,2010,518107,268660,249447
23,愛知県,35～39歳,平成,22,2010,618763,319697,299066
23,愛知県,40～44歳,平成,22,2010,539881,280543,259338
23,愛知県,45～49歳,平成,22,2010,472604,242768,229836
23,愛知県,50～54歳,平成,22,2010,413484,210174,203310
23,愛知県,55～59歳,平成,22,2010,449460,224481,224979
23,愛知県,60～64歳,平成,22,2010,551237,272179,279058
23,愛知県,65～69歳,平成,22,2010,464480,227743,236737
23,愛知県,70～74歳,平成,22,2010,374676,180206,194470
23,愛知県,75～79歳,平成,22,2010,292728,131473,161255
23,愛知県,80～84歳,平成,22,2010,197726,79887,117839
23,愛知県,85歳以上,平成,22,2010,162475,45441,117034
23,愛知県,総数,平成,27,2015,7483128,3740844,3742284
23,愛知県,0～4歳,平成,27,2015,328910,168753,160157
23,愛知県,5～9歳,平成,27,2015,341550,175086,166464
23,愛知県,10～14歳,平成,27,2015,352072,180692,171380
23,愛知県,15～19歳,平成,27,2015,377041,194524,182517
23,愛知県,20～24歳,平成,27,2015,383655,199772,183883
23,愛知県,25～29歳,平成,27,2015,419995,222068,197927
23,愛知県,30～34歳,平成,27,2015,464583,243016,221567
23,愛知県,35～39歳,平成,27,2015,516027,267502,248525
23,愛知県,40～44歳,平成,27,2015,615858,318209,297649
23,愛知県,45～49歳,平成,27,2015,533935,276418,257517
23,愛知県,50～54歳,平成,27,2015,466894,239195,227699
23,愛知県,55～59歳,平成,27,2015,404834,205250,199584
23,愛知県,60～64歳,平成,27,2015,435835,215024,220811
23,愛知県,65～69歳,平成,27,2015,527710,256537,271173
23,愛知県,70～74歳,平成,27,2015,435133,207781,227352
23,愛知県,75～79歳,平成,27,2015,337617,155994,181623
23,愛知県,80～84歳,平成,27,2015,243981,101394,142587
23,愛知県,85歳以上,平成,27,2015,216322,67204,149118
